Action,Description
com.omnigroup.OmniFocus3.iOS.FindTasksIntent,Find Tasks in OmniFocus 3
is.workflow.actions.tumblr.post,Post in Tumblr
com.alexhay.ToolboxProForShortcuts.GetTBPToolsIntent,Get TBP Tools in Toolbox Pro
com.appliedphasor.working-copy.PullRepositoryIntent,Pull Repository in Working Copy
com.sindresorhus.Actions.GetFilePathIntent,Get File Path through Sindresorhus
ch.marcela.ada.Pyto.RunCodeIntent,Run Code in Pyto
ke.bou.WidgetPack.ModifierForegroundColorIntent,Modifier Foreground Color in WidgetPack
com.getcardpointers.app.ShortcutsOfferEntity,Filter Shortcuts Offer in CardPointers
com.alexhay.ToolboxProForShortcuts.PrettyPrintIntent,Pretty Print in Toolbox Pro
net.shinyfrog.bear.SFCreateNoteIntent,Create Note in Bear
net.shinyfrog.bear-iOS.SFAddTagsToNoteIntent,Add Tags to Note on Shinyfrog
com.sindresorhus.Actions.GetUserDetailsIntent,Get User Details through Sindresorhus
com.meal.plan.ios.GetRecipeFromURLIntent,Get Recipe from URL in Meal Plan
com.orange.telephone.IdentifyPhoneNumber,Identify Phone Number in Orange
com.culturedcode.ThingsiPhone.TINAddTodoIntent,Add ToDo in Things iPhone
com.sindresorhus.Actions.GetRunningAppsIntent,Get Running Apps through Sindresorhus
com.sindresorhus.Actions.SortListIntent,Sort List through Sindresorhus
com.agiletortoise.Drafts4.addto,Add to Drafts 4
com.alexhay.ToolboxProForShortcuts.FindArtistsIntent,Find Artists in Toolbox Pro
com.alexhay.ToolboxProForShortcuts.FindAlbumsIntent,Find Albums in Toolbox Pro
com.apple.iBooks.BookReaderNavigatePagesIntent,Navigate Pages in iBooks
com.alexhay.ToolboxProForShortcuts.FindTvShowsIntent,Find TV Shows in Toolbox Pro
com.alexhay.ToolboxProForShortcuts.GetTvShowDetailsIntent,Get TV Show Details in Toolbox Pro
com.alexhay.ToolboxProForShortcuts.BookmarkFileIntent,Bookmark File in Toolbox Pro
com.alexhay.ToolboxProForShortcuts.EditPendingNotificationsIntent,Edit Pending Notifications in Toolbox Pro
com.microsoft.to-do.WLAddTaskIntent,Add Task in Microsoft To Do
ke.bou.WidgetPack.SFSymbolIntent,SF Symbol in WidgetPack
com.alexhay.ToolboxProForShortcuts.QuickMatchTextIntent,Quick Match Text in Toolbox Pro
com.sindresorhus.Actions.IsDeviceOrientationIntent,Get Device Orientation through Sindresorhus
com.apple.mobilesafari.OpenView,Open View in Safari
com.alexhay.ToolboxProForShortcuts.DetectFacesIAIHIntent,Detect Faces in Toolbox Pro
com.omz-software.Pythonista.editscript,Edit Script in Pythonista
com.alexhay.ToolboxProForShortcuts.FindPexelPhotosIntent,Find Pexel Photos in Toolbox Pro
com.reederapp.5.macOS.GetReadLaterIntent,Get Read Later in Reeder 5
com.reederapp.5.macOS.OpenReadLaterIntent,Open Read Later in Reeder 5
ke.bou.GizmoPack.CreateWalletPassIntent,Create Wallet Pass in GizmoPack
com.alexhay.ToolboxProForShortcuts.GetW3WIntent,Get W3W in Toolbox Pro
art.splashy.GetSplashyWallpaperIntent,Get Splashy Wallpaper in Splashy
com.sindresorhus.Actions.GetDominantColorsOfImage,Get Dominant Colors of Image through Sindresorhus
com.sindresorhus.Actions.GenerateUUIDIntent,Generate UUID through Sindresorhus
com.SideStore.SideStore.ZFY6868JV7.RefreshAllIntent,Refresh All in SideStore
com.SideStore.SideStore.G44P446W92.RefreshAllIntent,Refresh All in SideStore
com.P4N4J84A3M.com.rileytestut.AltStore.ViewAppIntent,View App in AltStore
com.P4N4J84A3M.com.rileytestut.AltStore.RefreshAllIntent,Refresh All in AltStore
co.zottmann.ActionsForObsidian.CheckForNotes,Check for Notes in Actions for Obsidian
co.zottmann.ActionsForObsidian.CheckForNote,Check for Note in Actions for Obsidian
co.zottmann.ActionsForObsidian.AppendNote,Append Note in Actions for Obsidian
co.zottmann.ActionsForObsidian.CreateNote,Create Note in Actions for Obsidian
com.tantsissa.AutoSleep.SleepRingsIntent,Sleep Rings in AutoSleep
com.lexwarelabs.goodmorning.SleepIntent,Sleep in Good Morning
in.muditbhargava.LookUp.AddToCollectionIntent,Add to Collection in LookUp
com.jonny.spring.KJYGetTweetIntent,Get Tweet in KJY
ke.bou.WidgetPack.ModifierMinimumScaleFactorIntent,Modifier Minimum Scale Factor in WidgetPack
fm.overcast.overcast.add,Add in Overcast
com.alexhay.ToolboxProForShortcuts.GetSymbolNameIntent,Get Symbol Name in Toolbox Pro
org.fastdevsproject.altervista.Device-Monitor.CPUChartIntent,CPU Chart in Device Monitor
org.fastdevsproject.altervista.Device-Monitor.RAMChartIntent,RAM Chart in Device Monitor
org.fastdevsproject.altervista.Device-Monitor.RAMDepthCleanIntent,RAM Depth Clean in Device Monitor
com.openai.chat.OpenVoiceModeIntent,Open Voice Mode in ChatGPT
com.apple.iBooks.BookReaderChangeThemeIntent,Change Theme in iBooks
com.apple.iBooks.BookReaderChangePageNavigationIntent,Change Page Navigation in iBooks
is.workflow.actions.evernote.getlink,Get Link in Evernote
com.pcalc.mobile.CalcSetRegisterWithValueIntent,Set Register with Value in PCalc
com.pcalc.mobile.CalcRunFunctionWithOneParameterIntent,Run Function with One Parameter in PCalc
com.pcalc.mobile.CalcRunFunctionWithTwoParametersIntent,Run Function with Two Parameters in PCalc
com.culturedcode.ThingsMac.TINRunThingsURLIntent,Run Things URL in Things Mac
com.apple.AccessibilityUIServer.ToggleMusicHapticsIntent,Toggle Music Haptics
com.iconfactory.Tot.GetDotIntent,Get Dot in Tot
ke.bou.WidgetPack.ModifierShadowIntent,Modifier Shadow in WidgetPack
com.alexhay.ToolboxProForShortcuts.GetLocationFromTextIntent,Get Location from Text in Toolbox Pro
com.shi.AviaryApp.PostTweetIntent,Post Tweet in Aviary
com.twidere.TwidereX.PublishPostIntent,Publish Post in Twidere X
com.ulyssesapp.ios.ULListSheetsIntent,List Sheets in Ulysses
com.ulyssesapp.ios.ULGetIdentifierIntent,Get Identifier in Ulysses
com.ulyssesapp.ios.ULGetSheetIntent,Get Sheet in Ulysses
net.shinyfrog.bear-iOS.SFAddFilesToNoteIntent,Add Files to Note on Shinyfrog
com.waterminder.waterminder.LogCupIntent,Log Cup in WaterMinder
com.waterminder.waterminder.LogDrinkIntent,Log Drink in WaterMinder
com.waterminder.waterminder.ShowLastDrinkIntent,Show Last Drink in WaterMinder
com.waterminder.waterminder.ShowProgressIntent,Show Progress in WaterMinder
com.waterminder.waterminder.ShowRemainingWaterGoalIntent,Show Remaining Water Goal in WaterMinder
com.wiheads.paste.ios.GetLatestItemIntent,Get Latest Item in Paste
com.highcaffeinecontent.radio.MRDPlayStationIntent,Play Station in Marvis Pro
com.tantsissa.AutoSleep.WristTempIntent,Wrist Temp in AutoSleep
com.omz-software.Pythonista3.PA3AddFileIntent,Add File in Pythonista 3
com.microsoft.to-do.WLShowListIntent,Show List in Microsoft To Do
com.XC759DNLDS.com.rileytestut.AltStore.RefreshAllIntent,Refresh All in AltStore
ai.perplexity.app.OpenVoiceInAppIntent,Open Voice in App in Perplexity
com.sindresorhus.Actions.TransformTextWithJavaScriptIntent,Transform Text with JavaScript through Sindresorhus
com.sindresorhus.Actions.ColorIntent,Color through Sindresorhus
ke.bou.GizmoPack.QueryDocumentIntent,Query Document in GizmoPack
ke.bou.WidgetPack.ModifierOpacityIntent,Modifier Opacity in WidgetPack
dev.fuxiao.app.Hamster.RimeDeployIntent,Rime Deploy in Hamster
